,RoomCount,Floor,Size(m2),Age,District,Price(TL)
3145,4,1.0,135.0,13.0,Etimesgut,4875000
3146,4,9.0,118.0,7.5,Etimesgut,2925000
3147,4,7.0,134.0,13.0,Etimesgut,3885000
3148,4,11.0,194.0,7.5,Etimesgut,3975000
3149,4,6.0,137.0,7.5,Etimesgut,3900000
3150,4,6.0,118.0,7.5,Etimesgut,3225000
3151,4,12.0,118.0,7.5,Etimesgut,3750000
3152,4,6.0,137.0,7.5,Etimesgut,3825000
3153,4,9.0,134.0,13.0,Etimesgut,3975000
3154,3,3.0,94.0,13.0,Etimesgut,2625000
3155,3,1.0,94.0,13.0,Etimesgut,2475000
3157,5,1.0,200.0,0.0,Etimesgut,9300000
3158,3,6.0,94.0,13.0,Etimesgut,2580000
3159,5,14.0,192.0,13.0,Etimesgut,5100000
3160,5,13.0,197.0,13.0,Etimesgut,4912500
3161,5,14.0,192.0,13.0,Etimesgut,4875000
3162,4,7.0,134.0,13.0,Etimesgut,3735000
3163,5,10.0,193.0,13.0,Etimesgut,4785000
3164,4,7.0,134.0,13.0,Etimesgut,3750000
3165,4,2.0,150.0,0.0,Etimesgut,10500000
3166,3,-1.0,80.0,20.0,Etimesgut,1500000
3167,3,12.0,120.0,0.0,Etimesgut,4350000
3168,3,2.0,95.0,0.0,Etimesgut,4275000
3169,4,2.0,120.0,1.0,Etimesgut,2925000
3170,4,1.0,200.0,7.5,Etimesgut,5698500
3171,4,5.0,165.0,7.5,Etimesgut,5775000
3172,3,1.0,70.0,0.0,Etimesgut,3562500
3173,5,1.0,211.0,0.0,Etimesgut,10950000
3174,4,6.0,135.0,7.5,Etimesgut,3975000
3175,3,2.0,75.0,20.0,Etimesgut,2698500
3176,4,2.0,140.0,0.0,Etimesgut,4500000
3177,3,2.0,90.0,0.0,Etimesgut,5025000
3178,4,2.0,150.0,13.0,Etimesgut,3300000
3179,4,7.0,150.0,13.0,Etimesgut,4350000
3180,4,1.0,125.0,13.0,Etimesgut,3270000
3181,3,6.0,110.0,2.0,Etimesgut,5385000
3182,4,2.0,89.0,13.0,Etimesgut,3375000
3183,5,1.0,200.0,0.0,Etimesgut,9600000
3184,4,3.0,140.0,13.0,Etimesgut,4425000
3185,3,3.0,110.0,3.0,Etimesgut,3900000
3186,6,3.0,220.0,18.0,Etimesgut,3712500
3187,4,3.0,125.0,13.0,Etimesgut,3405000
3188,4,1.0,110.0,20.0,Etimesgut,2850000
3189,4,3.0,145.0,7.5,Etimesgut,4912500
3191,5,9.0,250.0,2.0,Etimesgut,10425000
3192,3,3.0,128.0,3.0,Etimesgut,4033500
3194,3,2.0,95.0,13.0,Etimesgut,3223500
3195,4,12.0,133.0,2.0,Etimesgut,6975000
3196,4,14.0,120.0,20.0,Etimesgut,3960000
3198,3,3.0,100.0,0.0,Etimesgut,4350000
3199,2,5.0,55.0,20.0,Etimesgut,2400000
3200,4,3.0,130.0,18.0,Etimesgut,4125000
3201,3,3.0,95.0,0.0,Etimesgut,4200000
3202,3,1.0,125.0,13.0,Etimesgut,1905000
3203,4,8.0,145.0,3.0,Etimesgut,5775000
3204,3,2.0,110.0,7.5,Etimesgut,3225000
3205,6,3.0,250.0,3.0,Etimesgut,5850000
3206,6,3.0,210.0,18.0,Etimesgut,3750000
3207,5,1.0,175.0,1.0,Etimesgut,9000000
3208,3,1.0,90.0,7.5,Etimesgut,2475000
3209,4,2.0,160.0,0.0,Etimesgut,6750000
3210,4,3.0,150.0,0.0,Etimesgut,4950000
3211,4,2.0,115.0,20.0,Etimesgut,2977500
3212,5,9.0,205.0,7.5,Etimesgut,6337500
3213,4,1.0,150.0,1.0,Etimesgut,9337500
3214,4,4.0,125.0,18.0,Etimesgut,3373500
3215,6,6.0,280.0,7.5,Etimesgut,5212500
3216,3,1.0,76.0,3.0,Etimesgut,3487500
3217,6,3.0,290.0,13.0,Etimesgut,4800000
3218,3,5.0,110.0,4.0,Etimesgut,3750000
3219,4,3.0,145.0,18.0,Etimesgut,4425000
3220,5,3.0,280.0,13.0,Etimesgut,4425000
3221,4,3.0,150.0,0.0,Etimesgut,4725000
3222,4,1.0,140.0,13.0,Etimesgut,2445000
3223,4,3.0,135.0,13.0,Etimesgut,2818500
3224,4,8.0,120.0,18.0,Etimesgut,4875000
3225,4,9.0,160.0,13.0,Etimesgut,4875000
3226,4,3.0,120.0,18.0,Etimesgut,6300000
3227,3,1.0,74.0,20.0,Etimesgut,3262500
3228,4,2.0,140.0,7.5,Etimesgut,4123500
3229,3,1.0,100.0,13.0,Etimesgut,3225000
3230,4,2.0,130.0,13.0,Etimesgut,2946000
3231,4,1.0,120.0,13.0,Etimesgut,2511000
3232,3,3.0,115.0,7.5,Etimesgut,3148500
3233,3,1.0,115.0,7.5,Etimesgut,3225000
3234,4,4.0,135.0,18.0,Etimesgut,2925000
3237,4,2.0,135.0,13.0,Etimesgut,3673500
3238,4,1.0,130.0,0.0,Etimesgut,4500000
3239,4,1.0,160.0,0.0,Etimesgut,7723500
3240,3,2.0,105.0,13.0,Etimesgut,3225000
3242,3,2.0,110.0,0.0,Etimesgut,4500000
3243,4,9.0,130.0,18.0,Etimesgut,3375000
3244,6,7.0,300.0,13.0,Etimesgut,11325000
3245,3,2.0,90.0,20.0,Etimesgut,3037500
3246,4,1.0,105.0,13.0,Etimesgut,2100000
3247,4,5.0,165.0,4.0,Etimesgut,5370000
3248,4,3.0,140.0,0.0,Etimesgut,4950000
3249,4,1.0,120.0,13.0,Etimesgut,3150000
3250,5,1.0,200.0,7.5,Etimesgut,6675000
3251,5,3.0,180.0,0.0,Etimesgut,6975000
3252,5,1.0,155.0,18.0,Etimesgut,1993500
3253,5,3.0,190.0,0.0,Etimesgut,7800000
3254,4,3.0,130.0,18.0,Etimesgut,3900000
3255,4,1.0,135.0,4.0,Etimesgut,3825000
3256,3,2.0,95.0,20.0,Etimesgut,3375000
3257,4,6.0,135.0,13.0,Etimesgut,4500000
3258,3,0.0,95.0,0.0,Etimesgut,4275000
3259,3,1.0,95.0,18.0,Etimesgut,2250000
3260,4,1.0,130.0,20.0,Etimesgut,2295000
3261,3,2.0,105.0,7.5,Etimesgut,4350000
3262,3,-1.0,85.0,13.0,Etimesgut,1455000
3263,5,15.0,190.0,0.0,Etimesgut,10200000
3264,3,-1.0,100.0,13.0,Etimesgut,2025000
3265,4,2.0,120.0,13.0,Etimesgut,2767500
3266,3,1.0,100.0,0.0,Etimesgut,3450000
3267,4,1.0,167.0,7.5,Etimesgut,7350000
3268,4,1.0,115.0,18.0,Etimesgut,2400000
3269,3,2.0,100.0,0.0,Etimesgut,4155000
3270,3,15.0,90.0,4.0,Etimesgut,4500000
3271,6,3.0,240.0,18.0,Etimesgut,3750000
3272,4,4.0,135.0,13.0,Etimesgut,3223500
3273,4,1.0,140.0,0.0,Etimesgut,4725000
3274,4,1.0,140.0,0.0,Etimesgut,4425000
3275,5,26.0,185.0,7.5,Etimesgut,9750000
3276,3,1.0,110.0,20.0,Etimesgut,2685000
3277,2,2.0,70.0,7.5,Etimesgut,2025000
3278,2,2.0,52.0,20.0,Etimesgut,2475000
3279,4,3.0,140.0,13.0,Etimesgut,5175000
3280,4,3.0,130.0,13.0,Etimesgut,4050000
3281,3,2.0,80.0,18.0,Etimesgut,3000000
3282,4,2.0,115.0,18.0,Etimesgut,3300000
3283,3,3.0,79.0,20.0,Etimesgut,3577500
3284,4,1.0,120.0,7.5,Etimesgut,4500000
3285,4,3.0,120.0,20.0,Etimesgut,2548500
