RoomCount,Floor,Size(m2),Age,District,Price(TL)
4,7.0,145.0,4.0,Altındağ,5970000
4,0.0,125.0,4.0,Altındağ,2602500
4,1.0,119.0,20.0,Altındağ,1402500
4,1.0,130.0,7.5,Altındağ,2175000
4,1.0,135.0,4.0,Altındağ,2325000
4,0.0,110.0,7.5,Altındağ,2625000
3,5.0,90.0,20.0,Altındağ,3675000
4,2.0,140.0,0.0,Altındağ,4500000
4,1.0,128.0,7.5,Altındağ,2325000
4,3.0,135.0,7.5,Altındağ,2535000
3,1.0,110.0,7.5,Altındağ,1950000
4,5.0,150.0,7.5,Altındağ,4498500
4,4.0,120.0,7.5,Altındağ,2550000
4,-1.0,135.0,7.5,Altındağ,2100000
4,2.0,130.0,0.0,Altındağ,2998500
3,1.0,100.0,13.0,Altındağ,1920000
4,3.0,140.0,13.0,Altındağ,2445000
4,3.0,135.0,13.0,Altındağ,2085000
4,5.0,135.0,7.5,Altındağ,7125000
4,1.0,130.0,13.0,Altındağ,3127500
4,2.0,140.0,7.5,Altındağ,5250000
4,1.0,135.0,13.0,Altındağ,2085000
4,1.0,140.0,3.0,Altındağ,3450000
4,2.0,120.0,7.5,Altındağ,2520000
4,1.0,135.0,0.0,Altındağ,2400000
6,3.0,270.0,7.5,Altındağ,3975000
4,1.0,135.0,7.5,Altındağ,3562500
5,11.0,162.0,7.5,Altındağ,7425000
3,1.0,125.0,7.5,Altındağ,1567500
4,2.0,120.0,2.0,Altındağ,2437500
4,1.0,120.0,0.0,Altındağ,1633500
4,2.0,140.0,7.5,Altındağ,2398500
4,1.0,135.0,7.5,Altındağ,2850000
2,1.0,75.0,20.0,Altındağ,1492500
5,0.0,125.0,13.0,Altındağ,1942500
4,1.0,120.0,13.0,Altındağ,4050000
4,1.0,120.0,13.0,Altındağ,2370000
4,1.0,145.0,13.0,Altındağ,2623500
4,0.0,100.0,13.0,Altındağ,1687500
4,3.0,135.0,7.5,Altındağ,2662500
4,2.0,130.0,7.5,Altındağ,2757000
4,1.0,105.0,13.0,Altındağ,2248500
5,2.0,130.0,0.0,Altındağ,2925000
4,5.0,135.0,2.0,Altındağ,3375000
4,1.0,135.0,7.5,Altındağ,2518500
4,5.0,140.0,0.0,Altındağ,5100000
5,4.0,175.0,0.0,Altındağ,5625000
3,10.0,100.0,13.0,Altındağ,2293500
4,8.0,165.0,1.0,Altındağ,3435000
4,0.0,125.0,13.0,Altındağ,1950000
3,2.0,119.0,20.0,Altındağ,1104000
4,3.0,140.0,7.5,Altındağ,2280000
4,1.0,130.0,13.0,Altındağ,1945500
4,1.0,120.0,7.5,Altındağ,2077500
4,1.0,120.0,13.0,Altındağ,2137500
4,4.0,140.0,2.0,Altındağ,4125000
5,7.0,177.0,0.0,Altındağ,3900000
4,1.0,135.0,2.0,Altındağ,2662500
4,1.0,122.0,13.0,Altındağ,3000000
5,3.0,160.0,7.5,Altındağ,3210000
3,0.0,130.0,7.5,Altındağ,3150000
5,7.0,160.0,0.0,Altındağ,3795000
4,7.0,160.0,0.0,Altındağ,3795000
4,2.0,120.0,7.5,Altındağ,2640000
4,-1.0,120.0,3.0,Altındağ,2025000
4,0.0,115.0,13.0,Altındağ,1687500
4,1.0,125.0,18.0,Altındağ,2130000
4,-1.0,125.0,4.0,Altındağ,2062500
5,1.0,165.0,13.0,Altındağ,1875000
5,0.0,145.0,3.0,Altındağ,2475000
4,4.0,165.0,3.0,Altındağ,4125000
4,1.0,135.0,7.5,Altındağ,2790000
4,4.0,130.0,7.5,Altındağ,2400000
4,1.0,125.0,7.5,Altındağ,2805000
4,2.0,145.0,0.0,Altındağ,4042500
3,0.0,90.0,7.5,Altındağ,2025000
5,2.0,145.0,13.0,Altındağ,2925000
4,1.0,130.0,13.0,Altındağ,2137500
4,1.0,140.0,7.5,Altındağ,2459250
4,1.0,145.0,7.5,Altındağ,3000000
4,2.0,140.0,0.0,Altındağ,3180000
4,3.0,145.0,7.5,Altındağ,3000000
4,5.0,145.0,4.0,Altındağ,3825000
4,5.0,155.0,2.0,Altındağ,4423500
4,5.0,130.0,0.0,Altındağ,3525000
